center,left,right,steering,throttle,brake,speed
IMG/center_2017_12_03_22_50_04_476.jpg,IMG/left_2017_12_03_22_50_04_476.jpg,IMG/right_2017_12_03_22_50_04_476.jpg,0,0,0,16.14044
IMG/center_2017_12_03_22_50_04_596.jpg,IMG/left_2017_12_03_22_50_04_596.jpg,IMG/right_2017_12_03_22_50_04_596.jpg,0,0,0,16.46182
IMG/center_2017_12_03_22_50_04_718.jpg,IMG/left_2017_12_03_22_50_04_718.jpg,IMG/right_2017_12_03_22_50_04_718.jpg,0,0,0,16.27311
IMG/center_2017_12_03_22_50_04_840.jpg,IMG/left_2017_12_03_22_50_04_840.jpg,IMG/right_2017_12_03_22_50_04_840.jpg,0,0,0,16.09043
IMG/center_2017_12_03_22_50_04_953.jpg,IMG/left_2017_12_03_22_50_04_953.jpg,IMG/right_2017_12_03_22_50_04_953.jpg,0,0.1790393,0,15.4683
IMG/center_2017_12_03_22_50_05_069.jpg,IMG/left_2017_12_03_22_50_05_069.jpg,IMG/right_2017_12_03_22_50_05_069.jpg,0,0.5287512,0,16.09826
IMG/center_2017_12_03_22_50_05_179.jpg,IMG/left_2017_12_03_22_50_05_179.jpg,IMG/right_2017_12_03_22_50_05_179.jpg,0,0.8861701,0,17.02212
IMG/center_2017_12_03_22_50_05_299.jpg,IMG/left_2017_12_03_22_50_05_299.jpg,IMG/right_2017_12_03_22_50_05_299.jpg,0,1,0,18.26474
IMG/center_2017_12_03_22_50_05_421.jpg,IMG/left_2017_12_03_22_50_05_421.jpg,IMG/right_2017_12_03_22_50_05_421.jpg,0,1,0,19.51936
IMG/center_2017_12_03_22_50_05_542.jpg,IMG/left_2017_12_03_22_50_05_542.jpg,IMG/right_2017_12_03_22_50_05_542.jpg,0,1,0,20.756
IMG/center_2017_12_03_22_50_05_659.jpg,IMG/left_2017_12_03_22_50_05_659.jpg,IMG/right_2017_12_03_22_50_05_659.jpg,0,0.8269222,0,21.88321
IMG/center_2017_12_03_22_50_05_784.jpg,IMG/left_2017_12_03_22_50_05_784.jpg,IMG/right_2017_12_03_22_50_05_784.jpg,0.15,0.4526243,0,22.45522
IMG/center_2017_12_03_22_50_05_909.jpg,IMG/left_2017_12_03_22_50_05_909.jpg,IMG/right_2017_12_03_22_50_05_909.jpg,0.5000001,0.07881904,0,22.40557
