center,left,right,steering,throttle,brake,speed
IMG/center_2017_12_06_01_45_52_782.jpg,IMG/left_2017_12_06_01_45_52_782.jpg,IMG/right_2017_12_06_01_45_52_782.jpg,0,0,0,2.84E-06
IMG/center_2017_12_06_01_45_52_861.jpg,IMG/left_2017_12_06_01_45_52_861.jpg,IMG/right_2017_12_06_01_45_52_861.jpg,0,0,0,2.18E-06
IMG/center_2017_12_06_01_45_52_931.jpg,IMG/left_2017_12_06_01_45_52_931.jpg,IMG/right_2017_12_06_01_45_52_931.jpg,0,0,0,5.30E-06
IMG/center_2017_12_06_01_45_53_005.jpg,IMG/left_2017_12_06_01_45_53_005.jpg,IMG/right_2017_12_06_01_45_53_005.jpg,0,0,0,3.58E-06
IMG/center_2017_12_06_01_45_53_082.jpg,IMG/left_2017_12_06_01_45_53_082.jpg,IMG/right_2017_12_06_01_45_53_082.jpg,0,0,0,2.90E-06
IMG/center_2017_12_06_01_45_53_160.jpg,IMG/left_2017_12_06_01_45_53_160.jpg,IMG/right_2017_12_06_01_45_53_160.jpg,0,0,0,8.53E-07
IMG/center_2017_12_06_01_45_53_234.jpg,IMG/left_2017_12_06_01_45_53_234.jpg,IMG/right_2017_12_06_01_45_53_234.jpg,0,0,0,4.00E-06
IMG/center_2017_12_06_01_45_53_312.jpg,IMG/left_2017_12_06_01_45_53_312.jpg,IMG/right_2017_12_06_01_45_53_312.jpg,0,0,0,4.00E-06
IMG/center_2017_12_06_01_45_53_391.jpg,IMG/left_2017_12_06_01_45_53_391.jpg,IMG/right_2017_12_06_01_45_53_391.jpg,0,0,0,2.73E-06
IMG/center_2017_12_06_01_45_53_468.jpg,IMG/left_2017_12_06_01_45_53_468.jpg,IMG/right_2017_12_06_01_45_53_468.jpg,0,0,0,1.24E-05
IMG/center_2017_12_06_01_45_53_549.jpg,IMG/left_2017_12_06_01_45_53_549.jpg,IMG/right_2017_12_06_01_45_53_549.jpg,0,0,0,4.30E-06
IMG/center_2017_12_06_01_45_53_630.jpg,IMG/left_2017_12_06_01_45_53_630.jpg,IMG/right_2017_12_06_01_45_53_630.jpg,0,0,0,2.84E-06
IMG/center_2017_12_06_01_45_53_706.jpg,IMG/left_2017_12_06_01_45_53_706.jpg,IMG/right_2017_12_06_01_45_53_706.jpg,0,0,0,4.80E-06
IMG/center_2017_12_06_01_45_53_780.jpg,IMG/left_2017_12_06_01_45_53_780.jpg,IMG/right_2017_12_06_01_45_53_780.jpg,0,0,0,5.97E-07
IMG/center_2017_12_06_01_45_53_854.jpg,IMG/left_2017_12_06_01_45_53_854.jpg,IMG/right_2017_12_06_01_45_53_854.jpg,0,0,0,2.66E-06
IMG/center_2017_12_06_01_45_53_937.jpg,IMG/left_2017_12_06_01_45_53_937.jpg,IMG/right_2017_12_06_01_45_53_937.jpg,0,0.1175765,0,0.07201207
IMG/center_2017_12_06_01_45_54_016.jpg,IMG/left_2017_12_06_01_45_54_016.jpg,IMG/right_2017_12_06_01_45_54_016.jpg,0,0.3436334,0,0.289692
IMG/center_2017_12_06_01_45_54_093.jpg,IMG/left_2017_12_06_01_45_54_093.jpg,IMG/right_2017_12_06_01_45_54_093.jpg,0,0.5735947,0,0.6752082
IMG/center_2017_12_06_01_45_54_169.jpg,IMG/left_2017_12_06_01_45_54_169.jpg,IMG/right_2017_12_06_01_45_54_169.jpg,0,0.8058463,0,1.320286
IMG/center_2017_12_06_01_45_54_241.jpg,IMG/left_2017_12_06_01_45_54_241.jpg,IMG/right_2017_12_06_01_45_54_241.jpg,0,1,0,1.950391
IMG/center_2017_12_06_01_45_54_314.jpg,IMG/left_2017_12_06_01_45_54_314.jpg,IMG/right_2017_12_06_01_45_54_314.jpg,0,1,0,2.840022
IMG/center_2017_12_06_01_45_54_392.jpg,IMG/left_2017_12_06_01_45_54_392.jpg,IMG/right_2017_12_06_01_45_54_392.jpg,0,1,0,3.773908
IMG/center_2017_12_06_01_45_54_513.jpg,IMG/left_2017_12_06_01_45_54_513.jpg,IMG/right_2017_12_06_01_45_54_513.jpg,0,1,0,5.175313
IMG/center_2017_12_06_01_45_54_584.jpg,IMG/left_2017_12_06_01_45_54_584.jpg,IMG/right_2017_12_06_01_45_54_584.jpg,0,1,0,6.099698
IMG/center_2017_12_06_01_45_54_666.jpg,IMG/left_2017_12_06_01_45_54_666.jpg,IMG/right_2017_12_06_01_45_54_666.jpg,-0.05,1,0,7.016459
IMG/center_2017_12_06_01_45_54_737.jpg,IMG/left_2017_12_06_01_45_54_737.jpg,IMG/right_2017_12_06_01_45_54_737.jpg,-0.2,0.8294156,0,7.637273
IMG/center_2017_12_06_01_45_54_815.jpg,IMG/left_2017_12_06_01_45_54_815.jpg,IMG/right_2017_12_06_01_45_54_815.jpg,-0.4,0.5961004,0,8.2209
IMG/center_2017_12_06_01_45_54_898.jpg,IMG/left_2017_12_06_01_45_54_898.jpg,IMG/right_2017_12_06_01_45_54_898.jpg,-0.6000001,0.3495123,0,8.549779
IMG/center_2017_12_06_01_45_54_977.jpg,IMG/left_2017_12_06_01_45_54_977.jpg,IMG/right_2017_12_06_01_45_54_977.jpg,-0.5029012,0.1110067,0,8.671063
IMG/center_2017_12_06_01_45_55_054.jpg,IMG/left_2017_12_06_01_45_55_054.jpg,IMG/right_2017_12_06_01_45_55_054.jpg,-0.2702315,0,0,8.634801
IMG/center_2017_12_06_01_45_55_130.jpg,IMG/left_2017_12_06_01_45_55_130.jpg,IMG/right_2017_12_06_01_45_55_130.jpg,-0.04141537,0,0,8.561172
IMG/center_2017_12_06_01_45_55_211.jpg,IMG/left_2017_12_06_01_45_55_211.jpg,IMG/right_2017_12_06_01_45_55_211.jpg,0,0,0,8.485447
